"IsChecked";"Фраза";"Источник";"Дата добавления";"Частотность [WS]";"Частотность * * [WS]";"Частотность *!* [WS]";"Сезонность [WS]";"Корректность словоформы [SG]";"Частотность (первая) [RA]";"Частотность (все) [RA]";"Конкуренция в ПС Яндекс [KEI]";"Конкуренция в ПС Google [KEI]";"Кол-во главных страниц в ПС Яндекс [KEI]";"Кол-во главных страниц в ПС Google [KEI]";"Кол-во вхождений в заголовок в ПС Яндекс [KEI]";"Кол-во вхождений в заголовок в ПС Google [KEI]";"Рел. страница в ПС Яндекс";"Рел. страница в ПС Google";"Позиция в ПС Яндекс";"Страница в ПС Яндекс";"Позиция в ПС Google";"Страница в ПС Google";
"False";"негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"7265";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"негативные эмоции человека";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"1244";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"негативные эмоции ребенка";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"549";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"испытывать негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"353";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"позитивные и негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"282";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"негативные эмоции нужно";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"250";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"что вызывает негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"225";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"негативные мысли и эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"221";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"причины негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"213";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"негативные эмоции в общении";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"201";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"проявление негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"174";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"постоянные негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"159";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"виды негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"138";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"негативные эмоции в жизни человека";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"136";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"роль негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"132";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"как избавиться от негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"125";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"профилактика негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"109";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"негативные эмоции в общении человека";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"105";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"негативные эмоции по отношению к";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"контроль негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"98";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"борьба с негативными эмоциями";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"97";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"работа с негативными эмоциями";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"96";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"преодоление негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"92";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"избавление от негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"77";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"роль негативных эмоций в общении";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"74";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"роль негативных эмоций в общении человека";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"68";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"как справиться с негативными эмоциями";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"68";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"способы профилактики негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"68";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"негативные эмоции список";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"66";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"негативные эмоции пример";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"66";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"к чему приводят негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"63";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"трансформация негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"61";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"способы профилактики негативных эмоций вундта";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"какие есть негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"негативные эмоции подростков";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"56";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"выход эмоций негативных";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"54";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"психология негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"влияние негативных эмоций на человека";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"49";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"снятие негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"49";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"как управлять негативными эмоциями";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"44";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"убрать негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"43";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"как пережить негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"42";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"методы борьбы с негативными эмоциями";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"41";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"тренинг негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"41";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"негативные эмоции и болезни";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"41";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"синельников трансформация негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"39";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"как выплеснуть негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"39";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"синельников негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"39";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"негативные эмоции разрушают";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"39";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"исцеление души от негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:29 PM";"37";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"как контролировать негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"37";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"освобождение от негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"37";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"как избавится от негативных мыслей и эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"36";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"как бороться с негативными эмоциями";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"36";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"управление негативными эмоциями";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"36";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"что делать с негативными эмоциями";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"35";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"признаки негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"35";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"очищаем негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"35";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"как сдерживать негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"33";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"вред негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"32";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"негативные эмоции школьников";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"и негативные эмоции хотя они";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"проявление негативных эмоций ребенком";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"29";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"чувства и эмоции причины негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"негативные эмоции в общении реферат";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"если человек вызывает негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"собой много негативных эмоций в";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"негативные эмоции от определенного человека";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"выплеск негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"23";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"в вундт профилактика негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"влюбить с помощью негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"негативная эмоция вызванная стрессом";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"здоровый образ жизни и негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"роль негативных эмоций в общении человека реферат";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"работа вызывает негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"переживание негативных эмоций в жизни";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"негативные эмоции у мужчин";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"как научиться сдерживать свои негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"негативные эмоции вызывают болезни";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"способы выражения негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"как помочь ребенку преодолеть негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"слова вызывающие негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"вызывают негативные эмоции почему";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"какие положительные и негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"картинки негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"негативные эмоции влияние на здоровье";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"подавление негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"методика избавления от негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"негативные эмоции младших школьников";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"нарушевич негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"негативные эмоции как разрушители психики и здоровья";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"как защититься от негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"мантра убирающая негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"упражнения на преодоление негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"память и негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"выброс негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"старение тела воздерживайтесь от негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"изобразительная деятельность как средство контроля негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"как сбросить негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"41 способ проживания негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:44 PM";"8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"трансформация негативных эмоций жизнь без страха";"YandexWordstatLeftColumn";"3/26/2016 1:03:56 PM";"8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"техники работы с негативными эмоциями";"YandexWordstatLeftColumn";"3/26/2016 1:03:56 PM";"8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"от негативных эмоций подскакивает давление";"YandexWordstatLeftColumn";"3/26/2016 1:03:56 PM";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"как отрабатывать негативные эмоции практические упражнения";"YandexWordstatLeftColumn";"3/26/2016 1:03:56 PM";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"быстрое снятие негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:56 PM";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"что такое стресс откуда берутся негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:56 PM";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"негативные эмоции приводящие к асоциальному поведению";"YandexWordstatLeftColumn";"3/26/2016 1:03:56 PM";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"список болезней вызванных негативными эмоциями";"YandexWordstatLeftColumn";"3/26/2016 1:03:56 PM";"6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"как совладать с негативными эмоциями";"YandexWordstatLeftColumn";"3/26/2016 1:03:56 PM";"6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"валерий синельников трансформация негативных эмоций читать онлайн";"YandexWordstatLeftColumn";"3/26/2016 1:03:56 PM";"6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"перечень негативных эмоций";"YandexWordstatLeftColumn";"3/26/2016 1:03:56 PM";"6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"как избавиться от негативных эмоций к человеку";"YandexWordstatLeftColumn";"3/26/2016 1:03:56 PM";"6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"упражнения для проработки негативных эмоций в группе";"YandexWordstatLeftColumn";"3/26/2016 1:03:56 PM";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"техники замены негативных эмоций на позитивные";"YandexWordstatLeftColumn";"3/26/2016 1:03:56 PM";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"психотехника учимся отпускать негативные эмоции";"YandexWordstatLeftColumn";"3/26/2016 1:03:56 PM";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"обучение родителей совладанию с негативными эмоциями";"YandexWordstatLeftColumn";"3/26/2016 1:03:56 PM";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"роль негативных эмоций в жизни человека";"YandexWordstatLeftColumn";"3/26/2016 1:03:56 PM";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
