"IsChecked";"Фраза";"Источник";"Дата добавления";"Частотность [WS]";"Частотность * * [WS]";"Частотность *!* [WS]";"Сезонность [WS]";"Корректность словоформы [SG]";"Частотность (первая) [RA]";"Частотность (все) [RA]";"Конкуренция в ПС Яндекс [KEI]";"Конкуренция в ПС Google [KEI]";"Кол-во главных страниц в ПС Яндекс [KEI]";"Кол-во главных страниц в ПС Google [KEI]";"Кол-во вхождений в заголовок в ПС Яндекс [KEI]";"Кол-во вхождений в заголовок в ПС Google [KEI]";"Рел. страница в ПС Яндекс";"Рел. страница в ПС Google";"Позиция в ПС Яндекс";"Страница в ПС Яндекс";"Позиция в ПС Google";"Страница в ПС Google";
"False";"стресс";"YandexWordstatLeftColumn";"3/26/2016 4:16:13 PM";"248391";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"после стресса";"YandexWordstatLeftColumn";"3/26/2016 4:16:13 PM";"13148";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"люди стресс";"YandexWordstatLeftColumn";"3/26/2016 4:16:13 PM";"12515";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"снятие стресса";"YandexWordstatLeftColumn";"3/26/2016 4:16:13 PM";"7747";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"сильный стресс";"YandexWordstatLeftColumn";"3/26/2016 4:16:13 PM";"7290";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"причины стресса";"YandexWordstatLeftColumn";"3/26/2016 4:16:13 PM";"6533";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"влияние стресса";"YandexWordstatLeftColumn";"3/26/2016 4:16:13 PM";"6480";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"стресс тест";"YandexWordstatLeftColumn";"3/26/2016 4:16:13 PM";"6462";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"стресс теста";"YandexWordstatLeftColumn";"3/26/2016 4:16:13 PM";"6456";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"состояние стресса";"YandexWordstatLeftColumn";"3/26/2016 4:16:13 PM";"5996";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
