"IsChecked";"Фраза";"Источник";"Дата добавления";"Частотность [WS]";"Частотность * * [WS]";"Частотность *!* [WS]";"Сезонность [WS]";"Корректность словоформы [SG]";"Частотность (первая) [RA]";"Частотность (все) [RA]";"Конкуренция в ПС Яндекс [KEI]";"Конкуренция в ПС Google [KEI]";"Кол-во главных страниц в ПС Яндекс [KEI]";"Кол-во главных страниц в ПС Google [KEI]";"Кол-во вхождений в заголовок в ПС Яндекс [KEI]";"Кол-во вхождений в заголовок в ПС Google [KEI]";"Рел. страница в ПС Яндекс";"Рел. страница в ПС Google";"Позиция в ПС Яндекс";"Страница в ПС Яндекс";"Позиция в ПС Google";"Страница в ПС Google";
"False";"напряжение";"YandexWordstatLeftColumn";"3/26/2016 4:25:14 PM";"1350405";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"напряжение тока";"YandexWordstatLeftColumn";"3/26/2016 4:25:14 PM";"159999";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"стабилизатор напряжения";"YandexWordstatLeftColumn";"3/26/2016 4:25:14 PM";"153007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"какое напряжение";"YandexWordstatLeftColumn";"3/26/2016 4:25:14 PM";"95403";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"регулятор напряжения";"YandexWordstatLeftColumn";"3/26/2016 4:25:14 PM";"80869";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"высокое напряжение";"YandexWordstatLeftColumn";"3/26/2016 4:25:14 PM";"73809";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"напряжение сил";"YandexWordstatLeftColumn";"3/26/2016 4:25:14 PM";"72909";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"напряжение 2";"YandexWordstatLeftColumn";"3/26/2016 4:25:14 PM";"55141";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"электрическое напряжение";"YandexWordstatLeftColumn";"3/26/2016 4:25:14 PM";"52387";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"напряжение 220";"YandexWordstatLeftColumn";"3/26/2016 4:25:14 PM";"52058";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"преобразователь напряжения";"YandexWordstatLeftColumn";"3/26/2016 4:25:14 PM";"50045";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
