"IsChecked";"Фраза";"Источник";"Дата добавления";"Частотность [WS]";"Частотность * * [WS]";"Частотность *!* [WS]";"Сезонность [WS]";"Корректность словоформы [SG]";"Частотность (первая) [RA]";"Частотность (все) [RA]";"Конкуренция в ПС Яндекс [KEI]";"Конкуренция в ПС Google [KEI]";"Кол-во главных страниц в ПС Яндекс [KEI]";"Кол-во главных страниц в ПС Google [KEI]";"Кол-во вхождений в заголовок в ПС Яндекс [KEI]";"Кол-во вхождений в заголовок в ПС Google [KEI]";"Рел. страница в ПС Яндекс";"Рел. страница в ПС Google";"Позиция в ПС Яндекс";"Страница в ПС Яндекс";"Позиция в ПС Google";"Страница в ПС Google";
"False";"напрячься";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"13394";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"ребенок напрягается";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"1509";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"мышцы напрягаются";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"1380";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"напрягается живот";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"1326";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"не надо напрягаться";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"984";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"сильно напряглись";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"803";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"надо радоваться не надо напрягаться";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"743";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"почему напрягаемся";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"697";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"не хочу напрягаться";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"425";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"напрягается голова";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"372";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"напрягается тело";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"350";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"матка напрягается";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"348";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"напрягаются глаза";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"318";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"напрягается шея";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"314";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"жена напряглась";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"311";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"напрягись расслабься";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"252";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"пришлось напрячься";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"229";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"не напрягаясь особо";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"203";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"напрягается живот при беременности";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"187";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"под напрячься";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"181";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"напрягается член";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"179";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"напрягается лицо";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"168";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"какие мышцы напрягаются";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"160";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"грудничок напрягается";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"156";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"малыш напрягается";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"155";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"ребенок сильно напрягается";"YandexWordstatLeftColumn";"3/26/2016 1:56:30 PM";"149";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
