"IsChecked";"Фраза";"Источник";"Дата добавления";"Частотность [WS]";"Частотность * * [WS]";"Частотность *!* [WS]";"Сезонность [WS]";"Корректность словоформы [SG]";"Частотность (первая) [RA]";"Частотность (все) [RA]";"Конкуренция в ПС Яндекс [KEI]";"Конкуренция в ПС Google [KEI]";"Кол-во главных страниц в ПС Яндекс [KEI]";"Кол-во главных страниц в ПС Google [KEI]";"Кол-во вхождений в заголовок в ПС Яндекс [KEI]";"Кол-во вхождений в заголовок в ПС Google [KEI]";"Рел. страница в ПС Яндекс";"Рел. страница в ПС Google";"Позиция в ПС Яндекс";"Страница в ПС Яндекс";"Позиция в ПС Google";"Страница в ПС Google";
"False";"способности";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"695254";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"смысл жизни";"YandexWordstatLeftColumn";"3/20/2016 5:30:07 PM";"141716";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"развитие способностей";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"100007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"себя в жизни";"YandexWordstatLeftColumn";"3/20/2016 5:37:00 PM";"67942";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"как способность";"YandexWordstatLeftColumn";"3/20/2016 7:06:31 PM";"66389";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"способности человека";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"60109";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"творческие способности";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"56288";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"жизнь со смыслом";"YandexWordstatLeftColumn";"3/20/2016 5:30:07 PM";"52005";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"цель жизни";"YandexWordstatLeftColumn";"3/20/2016 5:44:44 PM";"47802";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"развитие творческих способностей";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"36754";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"про смысл жизни";"YandexWordstatLeftColumn";"3/20/2016 5:30:07 PM";"34535";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"дело жизни";"YandexWordstatLeftColumn";"3/20/2016 5:28:43 PM";"34526";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"про жизнь со смыслом";"YandexWordstatLeftColumn";"3/20/2016 5:30:07 PM";"33152";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"любимая работа";"YandexWordstatLeftColumn";"3/20/2016 5:36:25 PM";"33135";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"какие способности";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"25714";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"любимое дело";"YandexWordstatLeftColumn";"3/20/2016 5:29:30 PM";"21982";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"работу способность";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"20739";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"способность определенной";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"20228";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"способность процесса";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"19840";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"способность иметь";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"18638";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"несущая способность";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"17619";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"тема способности";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"15863";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"уровни способностей";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"15693";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"виды способностей";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"15245";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"смысл жизни человека";"YandexWordstatLeftColumn";"3/20/2016 5:30:07 PM";"14743";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"способность время";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"14264";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"способность давать";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"14000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"формирование способностей";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"13955";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"умение способность";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"13931";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"большие способности";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"13435";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"способности личности";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"13337";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"свойства способностей";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"12004";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"необходимые способности";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"11838";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"качества и способности";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"11472";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"нова способности";"YandexWordstatLeftColumn";"3/20/2016 5:37:36 PM";"11411";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
