"IsChecked";"Фраза";"Источник";"Дата добавления";"Частотность [WS]";"Частотность * * [WS]";"Частотность *!* [WS]";"Сезонность [WS]";"Корректность словоформы [SG]";"Частотность (первая) [RA]";"Частотность (все) [RA]";"Конкуренция в ПС Яндекс [KEI]";"Конкуренция в ПС Google [KEI]";"Кол-во главных страниц в ПС Яндекс [KEI]";"Кол-во главных страниц в ПС Google [KEI]";"Кол-во вхождений в заголовок в ПС Яндекс [KEI]";"Кол-во вхождений в заголовок в ПС Google [KEI]";"Рел. страница в ПС Яндекс";"Рел. страница в ПС Google";"Позиция в ПС Яндекс";"Страница в ПС Яндекс";"Позиция в ПС Google";"Страница в ПС Google";
"False";"миссия человека";"YandexWordstatLeftColumn";"3/30/2016 5:49:45 PM";"4151";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"миссия жизни";"YandexWordstatLeftColumn";"3/30/2016 5:50:01 PM";"2613";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"миссии человека паука";"YandexWordstatLeftColumn";"3/30/2016 5:49:45 PM";"504";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"личная миссия";"YandexWordstatLeftColumn";"3/30/2016 5:49:38 PM";"430";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"игра человек миссия";"YandexWordstatLeftColumn";"3/30/2016 5:49:45 PM";"406";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"миссия оон по правам человека";"YandexWordstatLeftColumn";"3/30/2016 5:49:45 PM";"341";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"миссия жизни человека";"YandexWordstatLeftColumn";"3/30/2016 5:49:45 PM";"293";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"миссия ранга жизнь";"YandexWordstatLeftColumn";"3/30/2016 5:50:01 PM";"266";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"моя миссия";"YandexWordstatLeftColumn";"3/30/2016 5:49:29 PM";"1201";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"моя миссия аниме";"YandexWordstatLeftColumn";"3/30/2016 5:49:29 PM";"133";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"смотреть мой миссия";"YandexWordstatLeftColumn";"3/30/2016 5:49:29 PM";"58";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"моя миссия выполнена";"YandexWordstatLeftColumn";"3/30/2016 5:49:29 PM";"53";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"моя миссия 2";"YandexWordstatLeftColumn";"3/30/2016 5:49:29 PM";"47";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"бьюкенен моя миссия в россии";"YandexWordstatLeftColumn";"3/30/2016 5:49:29 PM";"38";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"моя миссия в мире";"YandexWordstatLeftColumn";"3/30/2016 5:49:29 PM";"38";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"смотреть аниме мой миссия";"YandexWordstatLeftColumn";"3/30/2016 5:49:29 PM";"34";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"моя миссия по дате рождения";"YandexWordstatLeftColumn";"3/30/2016 5:49:29 PM";"28";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
